Date,Close/Last,Volume,Open,High,Low
10/31/2024,$173.02,235011,$174.64,$174.64,$172.20
10/30/2024,$175.21,222769,$176.25,$176.33,$175.20
10/29/2024,$176.03,357259,$176.50,$177.15,$175.64
10/28/2024,$176.63,457277,$175.70,$176.88,$175.3095
10/25/2024,$172.00,273877,$171.90,$173.00,$171.59
10/24/2024,$170.43,288576,$170.37,$171.4045,$169.30
10/23/2024,$171.33,398124,$172.00,$172.36,$170.33
10/22/2024,$169.93,393126,$169.58,$170.2999,$169.29
10/21/2024,$169.17,420176,$170.10,$170.2599,$168.655
10/18/2024,$171.53,400413,$171.70,$171.925,$170.6924
10/17/2024,$171.20,516184,$172.48,$172.77,$171.10
10/16/2024,$171.50,508130,$170.76,$171.80,$170.51
10/15/2024,$169.55,858871,$171.605,$171.6823,$169.31
10/14/2024,$175.10,316342,$174.22,$175.39,$174.08
10/11/2024,$174.06,344600,$172.06,$174.52,$171.80
10/10/2024,$174.35,241574,$172.84,$174.58,$172.76
10/09/2024,$173.99,416309,$172.88,$174.36,$171.80
10/08/2024,$175.76,326089,$175.73,$176.99,$174.65
10/07/2024,$177.32,228881,$177.79,$178.22,$176.855
10/04/2024,$180.02,309545,$178.30,$180.51,$177.96
10/03/2024,$176.17,394835,$176.92,$176.92,$175.3901
10/02/2024,$180.50,295144,$179.00,$180.61,$178.55
10/01/2024,$178.06,391166,$179.98,$179.98,$176.87
09/30/2024,$178.57,458900,$179.44,$179.82,$177.37
09/27/2024,$182.82,575172,$184.37,$185.19,$181.70
09/26/2024,$189.36,449748,$188.55,$190.44,$188.4654
09/25/2024,$184.16,213818,$184.01,$184.8375,$183.50
09/24/2024,$183.53,284990,$183.11,$184.87,$183.11
09/23/2024,$185.40,357927,$184.75,$185.81,$184.13
09/20/2024,$184.07,534072,$184.58,$184.92,$182.5429
09/19/2024,$183.47,494500,$184.29,$184.68,$183.0001
09/18/2024,$176.71,563819,$175.66,$178.52,$175.66
09/17/2024,$173.15,502580,$172.38,$174.59,$171.32
09/16/2024,$176.23,274319,$175.71,$176.61,$175.0683
09/13/2024,$175.39,217804,$174.99,$176.18,$174.86
09/12/2024,$176.18,267808,$175.56,$177.195,$174.305
09/11/2024,$174.69,415192,$172.39,$174.85,$170.51
09/10/2024,$174.18,479244,$174.73,$175.79,$171.60
09/09/2024,$176.08,408351,$175.60,$177.0899,$174.58
09/06/2024,$177.18,288730,$181.19,$181.55,$176.8881
09/05/2024,$182.80,224551,$182.79,$183.41,$181.77
09/04/2024,$184.71,218261,$183.92,$185.94,$183.62
09/03/2024,$186.15,329844,$187.80,$189.70,$185.595
08/30/2024,$189.80,240715,$190.00,$190.65,$188.40
08/29/2024,$187.77,215603,$188.11,$189.15,$187.35
08/28/2024,$187.67,366430,$189.60,$190.23,$187.135
08/27/2024,$185.75,657287,$185.36,$186.35,$185.25
08/26/2024,$180.57,337565,$180.73,$181.825,$180.39
08/23/2024,$185.09,241860,$184.09,$186.00,$183.50
08/22/2024,$181.50,179895,$183.37,$183.71,$181.31
08/21/2024,$183.62,298350,$184.16,$184.3782,$182.80
08/20/2024,$181.34,180405,$182.86,$183.63,$181.11
08/19/2024,$183.70,242684,$183.52,$183.80,$182.72
08/16/2024,$182.67,337340,$182.24,$183.26,$182.00
08/15/2024,$181.79,693483,$181.93,$182.32,$180.77
08/14/2024,$177.01,350406,$176.99,$178.01,$175.94
08/13/2024,$172.39,429098,$171.05,$172.6573,$170.77
08/12/2024,$167.97,296537,$169.00,$169.57,$167.561
08/09/2024,$168.59,274487,$167.49,$169.48,$166.7462
08/08/2024,$169.37,255002,$169.17,$170.10,$167.60
08/07/2024,$167.18,444632,$171.61,$172.60,$167.06
08/06/2024,$169.60,489778,$169.91,$170.50,$167.585
08/05/2024,$168.35,1023943,$160.89,$170.95,$159.04
08/02/2024,$173.02,674170,$173.72,$173.89,$171.50
08/01/2024,$179.07,820909,$181.57,$184.6799,$178.565
07/31/2024,$193.55,372318,$194.18,$194.89,$192.90
07/30/2024,$193.11,284277,$194.96,$195.48,$192.265
07/29/2024,$192.48,205888,$193.00,$193.20,$191.8067
07/26/2024,$192.52,317184,$190.74,$192.84,$190.51
07/25/2024,$195.25,212333,$197.43,$197.43,$193.73
07/24/2024,$197.20,211404,$199.79,$199.79,$197.08
07/23/2024,$200.79,283874,$200.18,$201.33,$200.03
07/22/2024,$200.14,315548,$198.70,$200.1487,$198.1183
07/19/2024,$197.15,236379,$199.28,$199.28,$197.03
07/18/2024,$199.85,292917,$201.93,$202.22,$199.54
07/17/2024,$204.39,266398,$204.73,$205.145,$203.31
07/16/2024,$206.60,206038,$206.23,$206.8142,$205.68
07/15/2024,$206.91,207913,$208.18,$208.21,$206.76
07/12/2024,$207.59,218220,$206.53,$208.8599,$206.03
07/11/2024,$203.73,246343,$205.31,$205.65,$203.73
07/10/2024,$205.88,209204,$204.63,$206.18,$203.78
07/09/2024,$201.67,230713,$203.00,$203.19,$201.67
07/08/2024,$204.94,200506,$204.72,$205.67,$204.3036
07/05/2024,$206.45,190511,$206.29,$206.55,$205.09
07/03/2024,$206.25,212267,$205.87,$206.31,$205.17
07/02/2024,$206.21,259313,$205.00,$206.21,$204.75
07/01/2024,$203.71,267469,$204.80,$205.13,$203.205
06/28/2024,$204.97,273852,$205.07,$206.27,$204.41
06/27/2024,$203.88,284050,$203.40,$204.94,$203.34
06/26/2024,$203.18,306116,$203.55,$204.2208,$202.38
06/25/2024,$206.22,517908,$205.50,$206.61,$205.13
06/24/2024,$198.98,375613,$197.50,$199.4299,$197.2749
06/21/2024,$193.58,284460,$193.70,$194.20,$193.38
06/20/2024,$194.54,234568,$194.00,$194.74,$193.31
06/18/2024,$194.14,347816,$193.89,$194.73,$193.4512
06/17/2024,$195.20,453614,$193.20,$195.67,$193.20
06/14/2024,$197.13,483308,$196.50,$197.79,$195.42
06/13/2024,$199.35,528034,$200.25,$200.38,$198.18
06/12/2024,$205.65,245222,$207.52,$207.52,$205.58
06/11/2024,$205.31,250363,$206.50,$207.00,$204.50
06/10/2024,$208.02,268951,$207.50,$208.61,$207.28
06/07/2024,$206.36,537570,$206.50,$207.70,$206.20
06/06/2024,$210.04,245992,$209.59,$210.94,$209.28
06/05/2024,$208.33,338451,$208.00,$208.565,$206.29
06/04/2024,$210.38,224059,$211.00,$211.34,$210.04
06/03/2024,$212.17,351367,$212.29,$213.54,$211.1801
05/31/2024,$217.51,254072,$216.89,$217.51,$215.54
05/30/2024,$214.17,279024,$213.52,$214.905,$213.2938
05/29/2024,$213.95,191322,$215.37,$215.37,$213.74
05/28/2024,$218.72,262299,$219.00,$219.53,$217.41
05/24/2024,$216.84,134402,$216.10,$217.02,$215.95
05/23/2024,$214.72,260814,$218.09,$218.09,$214.3109
05/22/2024,$216.63,166513,$217.47,$217.61,$216.28
05/21/2024,$219.36,145591,$219.80,$220.44,$219.19
05/20/2024,$220.50,175501,$220.31,$221.0888,$219.90
05/17/2024,$219.76,265728,$219.93,$220.42,$219.0901
05/16/2024,$215.63,296807,$216.84,$217.0371,$215.60
05/15/2024,$219.55,280881,$218.90,$219.9399,$218.3035
05/14/2024,$217.12,268659,$216.50,$217.61,$216.21
05/13/2024,$215.64,466171,$217.10,$217.13,$215.30
05/10/2024,$218.78,563937,$220.93,$221.055,$218.14
05/09/2024,$227.24,329111,$227.51,$228.03,$226.73
05/08/2024,$231.78,371657,$231.12,$232.43,$227.00
05/07/2024,$231.26,248944,$233.28,$233.28,$230.91
05/06/2024,$235.60,208217,$233.62,$235.68,$233.57
05/03/2024,$232.87,165241,$232.06,$233.35,$231.358
05/02/2024,$230.80,228134,$230.30,$231.41,$229.3702
05/01/2024,$226.83,264613,$228.31,$228.84,$226.56
04/30/2024,$227.31,334235,$229.94,$229.94,$227.00
04/29/2024,$227.94,228266,$228.00,$228.45,$227.18
04/26/2024,$226.71,242281,$225.00,$226.98,$224.57
04/25/2024,$225.36,319153,$223.00,$225.49,$222.385
04/24/2024,$232.88,273446,$232.85,$233.99,$231.83
04/23/2024,$230.41,361978,$228.10,$230.6439,$227.82
04/22/2024,$230.30,448187,$228.18,$231.1525,$227.88
04/19/2024,$228.72,425857,$229.50,$229.79,$227.38
04/18/2024,$231.84,220216,$233.73,$234.11,$231.695
04/17/2024,$233.97,306805,$234.59,$235.29,$233.01
04/16/2024,$236.52,306118,$236.29,$237.37,$234.64
04/15/2024,$241.67,158402,$245.71,$246.07,$241.33
04/12/2024,$242.97,207683,$245.01,$245.27,$242.63
04/11/2024,$246.99,172561,$246.50,$247.1537,$244.4701
04/10/2024,$244.79,214693,$246.00,$246.12,$243.86
04/09/2024,$246.93,232598,$247.86,$248.47,$245.68
04/08/2024,$244.21,218942,$243.40,$245.84,$243.325
04/05/2024,$240.74,191129,$239.00,$241.83,$238.58
04/04/2024,$239.16,196284,$243.20,$243.6655,$239.02
04/03/2024,$241.78,307482,$239.50,$242.45,$239.50
04/02/2024,$239.89,296550,$239.00,$240.2377,$237.96
04/01/2024,$242.15,527985,$242.85,$242.86,$240.22
03/28/2024,$251.68,124952,$251.14,$252.8489,$251.14
03/27/2024,$252.15,242749,$253.70,$254.20,$250.3301
03/26/2024,$253.72,214946,$253.89,$254.7899,$253.39
03/25/2024,$252.41,196883,$252.11,$253.42,$251.04
03/22/2024,$254.77,285516,$255.00,$255.23,$253.59
03/21/2024,$251.48,245505,$251.45,$251.79,$250.26
03/20/2024,$246.72,214883,$244.68,$246.80,$244.31
03/19/2024,$244.32,347608,$242.68,$245.085,$242.412
03/18/2024,$238.66,194198,$237.58,$238.83,$237.282
03/15/2024,$234.62,179136,$234.91,$235.12,$233.54
03/14/2024,$230.97,224891,$233.36,$233.36,$230.36
03/13/2024,$232.83,298261,$233.41,$233.54,$231.37
03/12/2024,$237.95,243114,$236.81,$238.4399,$235.45
03/11/2024,$235.46,380025,$237.41,$237.41,$235.17
03/08/2024,$242.82,379629,$245.00,$245.80,$242.58
03/07/2024,$247.94,359812,$246.93,$248.045,$245.70
03/06/2024,$252.40,331252,$252.15,$253.425,$250.93
03/05/2024,$248.19,314115,$247.71,$249.99,$246.8067
03/04/2024,$243.84,281458,$244.19,$244.785,$243.24
03/01/2024,$246.04,338591,$244.66,$246.54,$244.5639
02/29/2024,$240.55,257110,$240.92,$241.66,$239.65
02/28/2024,$237.29,168896,$237.93,$238.1925,$237.00
02/27/2024,$238.04,301015,$238.19,$238.8399,$236.59
02/26/2024,$238.13,332869,$237.59,$238.78,$236.54
02/23/2024,$235.00,279172,$235.00,$235.76,$234.34
02/22/2024,$234.45,461290,$234.17,$235.15,$233.01
02/21/2024,$227.09,430588,$227.22,$227.655,$225.80
02/20/2024,$226.77,298512,$227.78,$228.457,$225.58
02/16/2024,$227.36,241975,$227.83,$228.54,$226.63
02/15/2024,$228.54,239020,$226.14,$228.64,$226.14
02/14/2024,$227.03,324767,$226.00,$227.16,$224.48
02/13/2024,$231.00,733380,$227.59,$232.56,$227.295
02/12/2024,$225.86,246285,$223.82,$226.8732,$223.56
02/09/2024,$224.46,239094,$223.82,$225.144,$223.745
02/08/2024,$226.31,322983,$225.32,$226.40,$223.825
02/07/2024,$223.05,492662,$222.34,$224.02,$220.86
02/06/2024,$218.86,1143150,$211.87,$221.77,$211.82
02/05/2024,$203.03,329664,$202.29,$203.18,$201.407
02/02/2024,$202.54,241242,$200.90,$202.64,$200.535
02/01/2024,$202.18,168690,$200.63,$202.35,$199.81
01/31/2024,$199.70,297990,$202.28,$202.35,$199.29
01/30/2024,$201.85,144323,$202.01,$202.405,$201.51
01/29/2024,$201.66,281141,$199.68,$201.85,$199.08
01/26/2024,$198.06,194254,$197.24,$198.21,$197.071
01/25/2024,$199.56,194737,$200.71,$200.73,$198.65
01/24/2024,$200.72,314546,$200.87,$201.68,$200.355
01/23/2024,$201.40,228993,$200.68,$202.00,$200.68
01/22/2024,$201.42,369643,$201.24,$201.95,$200.40
01/19/2024,$200.67,286660,$200.10,$200.70,$198.85
01/18/2024,$200.08,413120,$199.43,$200.27,$198.29
01/17/2024,$194.14,231949,$193.26,$194.3899,$193.03
01/16/2024,$195.60,273722,$195.29,$196.50,$194.50
01/12/2024,$195.68,208173,$195.06,$195.98,$194.7972
01/11/2024,$194.95,361838,$195.31,$196.4799,$193.78
01/10/2024,$192.72,458140,$190.00,$192.81,$189.57
01/09/2024,$185.99,254737,$186.53,$186.6575,$185.29
01/08/2024,$187.89,359430,$187.50,$188.16,$186.43
01/05/2024,$187.07,336123,$186.00,$188.71,$185.64
01/04/2024,$182.97,273146,$183.09,$184.20,$182.73
01/03/2024,$181.55,273541,$180.84,$182.465,$180.07
01/02/2024,$181.37,243719,$182.15,$182.90,$181.163
12/29/2023,$183.38,223223,$183.13,$183.8752,$182.355
12/28/2023,$181.11,243007,$181.02,$181.69,$180.95
12/27/2023,$180.72,195476,$180.38,$181.11,$180.08
12/26/2023,$179.85,198694,$178.53,$180.365,$178.53
12/22/2023,$178.53,322893,$178.06,$179.24,$178.00
12/21/2023,$180.86,347241,$178.78,$181.2399,$178.58
12/20/2023,$179.94,429368,$180.45,$182.54,$179.88
12/19/2023,$183.95,200959,$184.80,$185.095,$183.90
12/18/2023,$183.28,294933,$183.87,$184.1944,$182.88
12/15/2023,$180.62,375458,$182.81,$183.04,$180.59
12/14/2023,$183.42,521533,$181.88,$184.77,$181.61
12/13/2023,$185.48,349549,$184.01,$186.29,$183.03
12/12/2023,$184.80,274262,$184.76,$185.205,$184.05
12/11/2023,$187.08,284610,$186.81,$187.71,$186.2784
12/08/2023,$187.28,471299,$186.18,$187.59,$185.60
12/07/2023,$190.24,281391,$190.43,$190.76,$187.91
12/06/2023,$189.89,326687,$191.59,$192.9016,$189.81
12/05/2023,$187.99,199598,$187.70,$188.98,$187.50
12/04/2023,$187.37,331210,$188.34,$189.11,$187.05
12/01/2023,$192.74,237563,$190.77,$192.81,$190.37
11/30/2023,$189.78,189607,$189.53,$190.00,$189.13
11/29/2023,$189.51,318741,$190.61,$191.24,$189.38
11/28/2023,$187.16,228422,$185.81,$187.3174,$185.81
11/27/2023,$186.61,245394,$186.10,$186.963,$186.10
11/24/2023,$188.30,213978,$187.44,$188.50,$187.17
11/22/2023,$184.23,184644,$184.18,$184.5852,$183.40
11/21/2023,$183.21,586591,$185.25,$185.39,$181.51
11/20/2023,$187.68,514669,$186.77,$188.53,$185.82
11/17/2023,$193.36,255574,$191.92,$193.43,$191.84
11/16/2023,$190.40,171685,$190.26,$190.82,$189.53
11/15/2023,$189.11,296628,$189.00,$190.46,$188.84
11/14/2023,$192.08,453426,$190.39,$192.11,$189.58
11/13/2023,$187.74,246510,$185.51,$188.00,$185.18
11/10/2023,$187.00,209108,$185.69,$187.10,$184.13
11/09/2023,$184.22,225155,$186.47,$186.94,$183.88
11/08/2023,$183.42,393868,$184.68,$184.82,$182.815
11/07/2023,$189.57,254149,$188.52,$189.62,$187.56
11/06/2023,$189.65,223565,$190.23,$190.56,$189.04
11/03/2023,$189.59,310701,$187.55,$189.8688,$187.55
11/02/2023,$186.55,418876,$184.96,$186.72,$183.365
11/01/2023,$185.78,711051,$180.90,$186.345,$180.63
